song_name,artist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,like
Prelude To A Kiss,Al Fowler Trio,0.629,0.152,9,-18.659,0,0.04,0.967,0.904,0.109,0.0966,116.833,0
Lesters's Tears,Tadd Norman,0.492,0.206,4,-16.065,1,0.0305,0.97,0.816,0.0959,0.234,106.139,0
Let's go uptown,Newington Green,0.565,0.239,0,-16.679,1,0.0418,0.96,0.894,0.149,0.231,116.419,0
A Common Place,We Three Trio,0.562,0.165,3,-16.39,1,0.0439,0.976,0.945,0.101,0.197,87.837,0
Last Call,Glass Trio,0.51,0.189,6,-15.775,1,0.0341,0.972,0.928,0.1,0.216,103.792,0
Bridges,Ikigai,0.375,0.0798,5,-15.498,0,0.0328,0.986,0.532,0.105,0.0856,50.159,0
Midnight Moods,Eight Bar Band,0.449,0.0875,1,-19.244,1,0.0344,0.972,0.818,0.113,0.214,94.952,0
Fools Rush In,The Southern Belle,0.508,0.126,0,-18.687,1,0.0422,0.947,0.902,0.366,0.095,117.126,0
The Art of Letting Go,Dries Riesen,0.454,0.142,10,-17.341,1,0.0381,0.956,0.502,0.0969,0.199,63.668,0
Tip Your Hat,6th Street Jazz,0.406,0.165,2,-14.121,0,0.0344,0.913,0.922,0.116,0.16,106.283,0
Sometime Ago,Madeleine West,0.538,0.14,9,-17.368,0,0.0393,0.937,0.893,0.324,0.195,86.259,0
Love To Be Happy,Magpie Jazz Trio,0.466,0.0718,6,-19.581,1,0.0336,0.922,0.916,0.11,0.214,105.252,0
Barney's,The Groove Trio,0.481,0.188,7,-13.449,1,0.04,0.979,0.935,0.104,0.2,52.127,0
Hate It Or Love It,The Game,0.802,0.785,9,-4.781,1,0.207,0.14,0.0,0.123,0.435,99.998,0
Just A Lil Bit,50 Cent,0.489,0.692,1,-6.672,1,0.41,0.0322,0.00608,0.315,0.527,96.946,0
Many Men (Wish Death),50 Cent,0.589,0.827,11,-2.938,1,0.384,0.0143,0.00151,0.14,0.386,161.978,0
"C.R.E.A.M. (Cash Rules Everything Around Me) (feat. Method Man, Raekwon, Inspectah Deck & Buddha Monk)",Wu-Tang Clan,0.479,0.549,11,-10.551,0,0.373,0.57,0.0235,0.127,0.576,180.985,0
That's All She Wrote,T.I.,0.496,0.785,7,-3.472,1,0.306,0.0328,0.0,0.0941,0.357,170.02,0
Still D.R.E.,Dr. Dre,0.816,0.775,11,-3.323,1,0.234,0.16,0.00031,0.0543,0.527,93.431,0
Forgot About Dre,Dr. Dre,0.924,0.74,8,-1.299,1,0.0774,0.0827,0.0,0.163,0.621,133.974,0
Who Am I (What’s My Name)?,Snoop Dogg,0.734,0.735,7,-6.201,1,0.065,0.000813,3.25e-05,0.559,0.729,96.806,0
Straight Outta Compton,N.W.A.,0.834,0.878,8,-9.484,1,0.15,0.0461,0.0,0.334,0.418,102.848,0
Swimming Pools (Drank),Kendrick Lamar,0.577,0.447,8,-5.892,1,0.277,0.00627,0.00022,0.0899,0.189,74.236,0
Shimmy Shimmy Ya,Ol' Dirty Bastard,0.814,0.481,0,-5.183,1,0.245,0.097,3.83e-05,0.0495,0.193,96.252,0
Do For Love,2Pac,0.874,0.63,1,-3.585,1,0.298,0.0578,0.00479,0.0582,0.717,95.0,0
Thuggish Ruggish Bone,Bone Thugs-N-Harmony,0.683,0.74,11,-6.041,0,0.0462,0.00228,0.0,0.238,0.65,129.515,0
Gimme the Loot - 2005 Remaster,The Notorious B.I.G.,0.721,0.662,7,-8.136,1,0.403,0.0888,0.0,0.178,0.68,94.191,0
Changes,2Pac,0.865,0.665,7,-6.289,1,0.073,0.0453,0.0,0.224,0.331,111.113,0
If I Ruled the World (Imagine That) (feat. Lauryn Hill),Nas,0.879,0.564,10,-7.682,0,0.247,0.0474,9.43e-06,0.0519,0.523,93.908,0
Runnin' (Dying To Live),2Pac,0.531,0.799,10,-2.76,0,0.414,0.0459,0.000172,0.331,0.631,165.964,0
Juicy - 2005 Remaster,The Notorious B.I.G.,0.889,0.818,9,-4.639,1,0.253,0.47,0.0,0.179,0.782,96.063,0
How We Do,The Game,0.862,0.648,4,-7.401,0,0.251,0.0455,0.0,0.0332,0.637,98.012,0
What's The Difference,Dr. Dre,0.772,0.821,11,-0.14,0,0.25,0.223,0.0,0.148,0.77,91.921,0
Hail Mary,Makaveli,0.696,0.636,10,-6.915,0,0.335,0.158,1.28e-05,0.338,0.358,81.593,0
Suena Mamal***,Cartel De Santa,0.661,0.766,7,-4.263,1,0.194,0.0477,0.000229,0.624,0.722,164.791,0
Life's a Bitch (feat. AZ & Olu Dara),Nas,0.775,0.734,7,-5.41,1,0.215,0.00138,0.0,0.304,0.342,90.001,0
Enemies (feat. DaBaby),Post Malone,0.542,0.674,6,-4.169,1,0.21,0.0588,0.0,0.0955,0.667,76.388,0
Why We Thugs,Ice Cube,0.683,0.59,1,-5.423,1,0.458,0.326,0.0,0.148,0.653,100.892,0
All Eyez On Me (ft. Big Syke),2Pac,0.872,0.723,1,-5.968,1,0.247,0.0293,0.0,0.327,0.843,93.279,0
Represent,Nas,0.708,0.832,1,-4.964,1,0.318,0.02,2.8e-06,0.189,0.618,92.428,0
Window Shopper,50 Cent,0.534,0.671,5,-5.023,0,0.195,0.0504,0.0,0.362,0.422,174.292,0
My Name Is,Eminem,0.869,0.68,1,-6.233,1,0.318,0.0416,1.12e-06,0.0914,0.815,85.519,0
Feeling Myself,23,0.652,0.548,11,-7.994,1,0.237,0.314,1.69e-05,0.103,0.577,130.243,0
"An der schönen blauen Donau, Op. 314",Johann Strauss II,0.233,0.0252,2,-24.824,1,0.0346,0.975,0.601,0.143,0.0936,94.736,0
"Violin Sonata in A major, FWV 8: IV. Allegretto poco mosso",César Franck,0.25,0.135,9,-18.615,1,0.0488,0.958,0.0349,0.0477,0.179,94.404,0
"Chopin: Nocturne No. 20 in C-Sharp Minor, Op. Posth.",Frédéric Chopin,0.225,0.0047,1,-30.928,0,0.0509,0.992,0.881,0.0722,0.186,163.665,0
Spiegel im Spiegel - Version for Violin and Piano,Arvo Pärt,0.176,0.006,5,-42.238,1,0.0384,0.899,3.24e-05,0.105,0.0383,71.477,0
"Violin Concerto No. 1 in G Minor, Op. 26: III. Finale. Allegro energico",Max Bruch,0.365,0.0718,7,-21.408,1,0.0452,0.906,0.347,0.0506,0.255,90.666,0
Gnossienne No. 1,Erik Satie,0.376,0.00579,5,-31.615,0,0.0576,0.996,0.944,0.0882,0.0369,71.827,0
"Turandot, SC 91, Act III: Nessun dorma!",Giacomo Puccini,0.212,0.301,2,-12.505,1,0.0384,0.963,0.0033,0.13,0.0798,84.025,0
"Rhapsody on a Theme of Paganini, Op. 43: Variation No. 18 Andante cantabile",Sergei Rachmaninoff,0.205,0.0525,1,-23.841,1,0.0327,0.98,0.906,0.103,0.0511,88.316,0
O Magnum Mysterium: O magnum mysterium,Morten Lauridsen,0.0623,0.0116,2,-27.893,1,0.0567,0.991,0.445,0.0816,0.0331,65.057,0
The Sorcerer's Apprentice,Paul Dukas,0.351,0.206,1,-22.657,1,0.0597,0.797,0.255,0.0738,0.0839,130.415,0
"Suite bergamasque, L. 75: III. Clair de lune",Claude Debussy,0.335,0.00501,1,-33.366,1,0.0451,0.993,0.919,0.0618,0.0383,132.085,0
Piano Concerto in One Movement: Adagio cantabile,Florence Beatrice Price,0.154,0.029,2,-26.927,1,0.0374,0.984,0.89,0.129,0.0376,78.51,0
"Andante festivo for Strings and Timpani, JS 34b",Jean Sibelius,0.113,0.161,7,-20.046,1,0.0442,0.484,0.928,0.16,0.0365,65.062,0
"Sonata No. 14 ""Moonlight"" in C-Sharp Minor"", Op. 27 No. 2: I. Adagio sostenuto",Ludwig van Beethoven,0.184,0.00527,1,-37.264,0,0.0432,0.995,0.887,0.173,0.151,170.612,0
"The Carnival of the Animals, R. 125: XIII. The Swan (Arr. for Cello and Piano)",Camille Saint-Saëns,0.169,0.0161,9,-31.034,0,0.0442,0.986,0.86,0.0805,0.0573,128.143,0
"Piano Concerto in A Minor, Op. 16: I. Allegro molto moderato",Edvard Grieg,0.312,0.0465,9,-26.438,0,0.0378,0.981,0.9,0.0872,0.0371,130.303,0
"Suite No. 3 in D Major, BWV 1068: II. Air",Johann Sebastian Bach,0.0769,0.0846,2,-25.997,1,0.045,0.922,0.929,0.113,0.0586,176.329,0
Rodrigo: Concierto de Aranjuez: II. Adagio,Joaquín Rodrigo,0.253,0.098,11,-19.878,0,0.0437,0.93,0.862,0.122,0.062,84.865,0
"Piano Concerto in A Minor, Op. 16: I. Allegro molto moderato",Edvard Grieg,0.302,0.119,9,-18.059,0,0.0386,0.975,0.887,0.11,0.0381,94.4,0
"Elégie in C Minor, Op. 24 (Arr. Parkin)",Gabriel Fauré,0.115,0.0422,8,-24.137,1,0.0404,0.966,0.919,0.0896,0.037,87.855,0
"Liebestraum No. 3 in A-Flat Major, S. 541 / 3",Franz Liszt,0.279,0.0292,8,-26.804,1,0.0406,0.987,0.902,0.104,0.0338,136.732,0
"Handel / Orch. Hale: Keyboard Suite No. 4 in D Minor, HWV 437: III. Sarabande",George Frideric Handel,0.0939,0.0336,2,-24.041,0,0.0606,0.927,0.83,0.0954,0.0516,67.359,0
"Sechs Klavierstücke, Op. 118: II. Intermezzo in A Major",Johannes Brahms,0.299,0.00626,9,-30.923,1,0.0478,0.994,0.901,0.0823,0.0634,69.043,0
"Ständchen in D Minor (After Schubert), S. 560",Franz Liszt,0.341,0.0142,2,-28.293,1,0.0388,0.993,0.921,0.113,0.0384,76.382,0
"Piano Concerto No. 2 in C Minor, Op. 18: 2. Adagio sostenuto",Sergei Rachmaninoff,0.194,0.0545,4,-24.877,1,0.0366,0.983,0.945,0.0551,0.0385,140.966,0
Prince Igor (Knyaz Igor): Act II: Polovtsian Dances - Ulyetay na kril'yahk vyetra (Fly away on the wings of the wind) (version for chorus),Alexander Borodin,0.292,0.246,2,-14.96,1,0.0385,0.922,0.525,0.107,0.0859,109.766,0
"Recomposed By Max Richter: Vivaldi, The Four Seasons: Spring 1 - 2012",Max Richter,0.701,0.341,1,-12.26,0,0.0418,0.499,0.903,0.359,0.163,105.513,0
Pachelbel: Canon and Gigue for Three Violins and Continuo in D Major: Canon,Johann Pachelbel,0.128,0.132,2,-17.67,1,0.0353,0.744,0.942,0.107,0.0988,85.314,0
Scheherazade: The Tale of the Kalendar Prince,Nikolai Rimsky-Korsakov,0.235,0.0639,11,-24.404,0,0.049,0.962,0.603,0.466,0.0781,120.736,0
"Petite Suite de Concert, Op. 77: III. Un sonnet d'amour",Samuel Coleridge-Taylor,0.234,0.0251,9,-28.627,1,0.0449,0.937,0.202,0.101,0.04,126.31,0
American Kids,Kenny Chesney,0.782,0.589,0,-7.37,1,0.0803,0.0476,5.84e-06,0.0366,0.849,85.022,0
The Kind of Love We Make,Luke Combs,0.608,0.745,1,-4.13,1,0.0277,0.0226,6.47e-06,0.0942,0.464,102.025,0
Carrying Your Love With Me,George Strait,0.629,0.479,10,-10.608,1,0.0271,0.22,0.0,0.0587,0.345,138.231,0
Beer Never Broke My Heart,Luke Combs,0.538,0.863,1,-4.483,1,0.0481,0.0139,0.0,0.0874,0.637,77.001,0
Chicken Fried,Zac Brown Band,0.566,0.713,6,-4.25,1,0.0418,0.645,0.0,0.114,0.805,169.861,0
You Proof,Morgan Wallen,0.732,0.839,9,-5.007,1,0.0345,0.265,0.0,0.602,0.629,119.724,0
When It Rains It Pours,Luke Combs,0.551,0.801,6,-5.069,1,0.0303,0.013,6.03e-06,0.265,0.625,128.027,0
Check Yes Or No,George Strait,0.708,0.524,5,-12.644,1,0.0352,0.0551,3.21e-06,0.0371,0.69,111.482,0
Sand In My Boots,Morgan Wallen,0.403,0.537,3,-6.628,1,0.031,0.59,0.0,0.112,0.414,69.877,0
One Man Band,Old Dominion,0.706,0.358,6,-8.331,1,0.0347,0.677,0.0,0.107,0.478,75.991,0
Dirt Road Anthem,Jason Aldean,0.68,0.741,2,-5.055,1,0.0357,0.347,1.87e-06,0.117,0.635,127.024,0
Drinkin' Problem,Midland,0.622,0.763,9,-6.4,1,0.0263,0.055,8.91e-06,0.313,0.621,102.0,0
I Hope You’re Happy Now,Carly Pearce,0.591,0.815,10,-4.725,1,0.0366,0.168,8.68e-06,0.142,0.306,118.024,0
That's My Kind Of Night,Luke Bryan,0.661,0.751,7,-2.909,1,0.0481,0.0571,0.0,0.105,0.875,109.995,0
Chattahoochee,Alan Jackson,0.606,0.706,0,-9.665,1,0.0379,0.362,0.0,0.16,0.819,174.533,0
She Had Me At Heads Carolina,Cole Swindell,0.607,0.912,8,-3.449,1,0.0611,0.124,0.0,0.332,0.722,134.944,0
Beautiful Crazy,Luke Combs,0.551,0.402,11,-7.431,1,0.0262,0.676,0.0,0.0928,0.382,103.313,0
Straight and Narrow,Sam Barber,0.427,0.278,10,-8.83,1,0.0331,0.47,2.22e-05,0.135,0.374,85.633,0
Watching You,Rodney Atkins,0.625,0.848,2,-4.008,1,0.0314,0.105,0.0,0.23,0.716,137.993,0
Beers On Me,Dierks Bentley,0.59,0.846,4,-4.251,1,0.0396,0.182,0.0,0.53,0.733,146.028,0
Red Solo Cup,Toby Keith,0.535,0.56,4,-6.586,1,0.0901,0.287,0.0,0.209,0.785,164.17,0
23 - Steel Mix,Chayce Beckham,0.553,0.723,0,-5.858,0,0.0303,0.0248,1.05e-06,0.252,0.616,88.007,0
Chillin' It,Cole Swindell,0.576,0.849,9,-3.057,1,0.0386,0.511,3.89e-05,0.109,0.666,137.982,0
One Of Them Girls,Lee Brice,0.643,0.79,4,-6.079,1,0.0461,0.29,0.0,0.107,0.808,95.981,0
Wagon Wheel,Darius Rucker,0.537,0.66,9,-7.174,1,0.0296,0.455,0.0,0.135,0.574,148.096,0
Even Though I'm Leaving,Luke Combs,0.554,0.755,2,-6.04,1,0.0319,0.225,0.0,0.301,0.624,77.962,0
T-Shirt,Thomas Rhett,0.634,0.862,2,-5.337,1,0.0376,0.0287,0.0,0.0217,0.767,95.989,0
People Are Crazy,Billy Currington,0.651,0.699,5,-5.006,1,0.0265,0.213,0.000265,0.12,0.36,141.938,0
As Good As I Once Was,Toby Keith,0.68,0.87,5,-4.461,1,0.0393,0.266,0.0,0.109,0.646,119.075,0
Ol' Red,Blake Shelton,0.664,0.556,10,-7.713,1,0.0365,0.146,3.91e-06,0.113,0.494,75.049,0
I Put a Spell on You (feat. Joss Stone),Jeff Beck,0.681,0.335,11,-10.479,0,0.0865,0.433,0.000189,0.219,0.749,174.062,0
The Thrill Is Gone,B.B. King,0.692,0.493,9,-9.662,0,0.0325,0.0934,0.00166,0.128,0.28,86.644,0
I'm Your Hoochie Coochie Man,Muddy Waters,0.542,0.588,2,-9.268,1,0.0665,0.67,0.158,0.241,0.881,113.948,0
Junker's Blues,Champion Jack Dupree,0.779,0.155,5,-21.57,1,0.112,0.856,7.82e-06,0.0974,0.696,103.251,0
Call It Stormy Monday But Tuesday Is Just As Bad,T-Bone Walker,0.621,0.134,0,-15.836,1,0.0496,0.853,0.0568,0.0412,0.44,103.782,0
Lie To Me,Jonny Lang,0.621,0.693,8,-8.755,1,0.0407,0.579,0.000295,0.0634,0.896,112.439,0
So Many Roads,Joe Bonamassa,0.29,0.756,5,-5.408,0,0.039,0.0114,0.148,0.0947,0.546,146.458,0
Good Morning Little School Girl,Muddy Waters,0.626,0.307,9,-14.645,1,0.0836,0.689,0.00663,0.0843,0.62,173.652,0
Help Me,Sonny Boy Williamson II,0.745,0.436,5,-9.617,0,0.043,0.597,0.0213,0.61,0.771,114.216,0
Little Wing,Stevie Ray Vaughan,0.475,0.383,1,-14.202,1,0.0375,0.362,0.749,0.0728,0.524,114.709,0
I'm In The Mood,John Lee Hooker,0.601,0.19,5,-18.675,1,0.061,0.507,5.49e-05,0.18,0.656,202.294,0
"Damn Right, I've Got the Blues",Buddy Guy,0.353,0.921,2,-5.64,1,0.0758,0.0488,0.065,0.314,0.526,145.589,0
Chains And Things,B.B. King,0.56,0.241,4,-15.385,0,0.0314,0.593,0.195,0.122,0.341,79.537,0
Ain't No Sunshine,Freddie King,0.576,0.363,0,-14.487,0,0.0512,0.758,0.000147,0.0837,0.452,135.513,0
Boom Boom,John Lee Hooker,0.441,0.455,10,-14.207,1,0.0485,0.62,0.00187,0.135,0.918,160.9,0
Funky Guitar Blues,Bryce Janey,0.563,0.871,5,-5.825,1,0.029,0.000197,0.0128,0.0928,0.517,114.894,0
The Getaway,Fenton Robinson,0.597,0.479,8,-9.851,0,0.065,0.693,0.000267,0.116,0.908,92.25,0
Am I Wrong,Keb' Mo',0.883,0.446,0,-10.304,1,0.0574,0.462,1.03e-06,0.0447,0.964,112.635,0
I'm A King Bee,Slim Harpo,0.712,0.58,10,-7.233,0,0.0263,0.401,0.000271,0.166,0.887,112.692,0
Bring It On Home,Sonny Boy Williamson II,0.827,0.396,9,-11.511,1,0.0388,0.616,0.00533,0.126,0.586,110.997,0
"Shame, Shame, Shame",Jimmy Reed,0.571,0.498,2,-9.77,1,0.0303,0.965,0.5,0.307,0.9,161.805,0
Hound Dog,Big Mama Thornton,0.563,0.542,9,-10.862,1,0.0962,0.706,3.59e-05,0.355,0.785,133.285,0
Red House,Jimi Hendrix,0.277,0.479,5,-8.483,0,0.0495,0.585,0.0224,0.16,0.483,53.905,0
Workin' Man Blues,Albert Cummings,0.596,0.882,8,-7.241,1,0.1,0.00722,0.00191,0.31,0.746,107.019,0
Why I Sing The Blues,B.B. King,0.792,0.495,0,-11.603,1,0.0527,0.239,0.00175,0.074,0.719,118.066,0
What It Is,Mark Knopfler,0.624,0.682,6,-7.274,0,0.0302,0.615,0.252,0.288,0.432,122.084,0
Same Old Blues,Freddie King,0.542,0.287,9,-12.024,1,0.0376,0.671,0.000449,0.0868,0.15,129.976,0
Life by the Drop,Stevie Ray Vaughan,0.659,0.163,6,-11.864,0,0.0388,0.766,1.41e-05,0.0735,0.473,95.882,0
Sleeping on the Blacktop,Colter Wall,0.567,0.311,2,-14.464,0,0.0455,0.822,0.23,0.11,0.478,83.11,0
