song_name,artist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,like
Bombardment,David Guetta,0.633,0.935,1,-5.029,1,0.0473,0.0341,0.945,0.126,0.25,125.995,1
Bad Memories ft Elley Duhe and FAST BOY - David Guetta Remix,MEDUZA,0.387,0.827,10,-3.544,0,0.0471,0.0621,0.012,0.0737,0.135,125.001,1
Killing Me Softly,Gabry Ponte,0.689,0.971,2,-5.836,1,0.0732,0.00709,0.355,0.101,0.0603,126.005,1
Spectre,Justus,0.584,0.924,9,-6.29,0,0.0839,0.0889,0.00228,0.256,0.313,127.864,1
Juliet - Robin Schulz Remix,Henri PFR,0.711,0.911,11,-6.226,0,0.119,0.00461,0.492,0.12,0.33,126.016,1
Golden,Don Diablo,0.686,0.823,9,-4.806,1,0.0434,0.235,0.0714,0.109,0.0727,124.025,1
Everything You Have Done - Meduza Edit,GENESI,0.678,0.935,2,-6.382,1,0.0592,0.0459,0.202,0.198,0.485,124.989,1
Let's Love - David Guetta & MORTEN Future Rave Remix,David Guetta,0.525,0.797,2,-6.939,0,0.122,0.0582,0.748,0.179,0.0855,125.878,1
Keep Me Around (feat. RIELL),GRY,0.634,0.888,6,-3.379,0,0.0418,0.0209,1.71e-05,0.271,0.454,125.979,1
Cameo - David Guetta Remix,Kavinsky,0.681,0.791,7,-5.556,1,0.0853,0.0985,0.000132,0.571,0.494,125.989,1
Detroit 3 AM - Radio Edit,David Guetta,0.554,0.889,6,-6.635,0,0.0643,0.000285,0.911,0.0906,0.0605,125.016,1
Crazy What Love Can Do - HEADER Remix,David Guetta,0.59,0.934,11,-5.555,0,0.254,0.00848,0.000395,0.14,0.0664,127.903,1
Here For You,Mike Williams,0.73,0.942,8,-7.237,1,0.204,0.0193,0.147,0.24,0.325,128.074,1
Pepas - David Guetta Remix - Radio Edit,Farruko,0.632,0.952,7,-4.85,1,0.0527,0.0122,0.0119,0.265,0.098,126.967,1
DON'T YOU WORRY (feat. Shakira) - David Guetta & DJs From Mars Remix,Black Eyed Peas,0.731,0.853,4,-4.859,1,0.0347,0.0537,0.000352,0.108,0.16,128.114,1
Check This Out,Toby Green,0.602,0.951,0,-3.969,1,0.0699,0.00116,0.609,0.392,0.345,125.005,1
Untouchable,HEADER,0.639,0.946,1,-3.881,1,0.0552,0.00361,0.24,0.4,0.0343,128.02,1
Careful What You Wish For (feat. Alida) [Club Mix],Lucas & Steve,0.607,0.966,6,-4.707,0,0.0632,0.00708,0.00614,0.0966,0.32,127.982,1
BED - David Guetta Festival Mix,Joel Corry,0.687,0.916,8,-4.311,1,0.0668,0.00409,0.258,0.0474,0.246,125.001,1
My Universe - David Guetta Remix,Coldplay,0.436,0.948,1,-5.515,0,0.0558,0.0974,0.00375,0.14,0.696,122.609,1
Forget You - FAST BOY VIP Mix,FAST BOY,0.64,0.921,7,-5.391,0,0.0537,0.00151,0.0118,0.096,0.026,128.017,1
Lonely With You,Skytech,0.658,0.848,8,-4.703,0,0.156,0.333,0.258,0.239,0.139,126.002,1
Midnight,HEADER,0.268,0.997,0,-4.492,1,0.134,0.332,0.783,0.207,0.043,170.655,1
Drinkin,Mike Candys,0.791,0.936,6,-4.216,1,0.0415,0.0119,0.669,0.192,0.788,129.996,1
Just a Dream,Funkin Matt,0.547,0.947,1,-7.751,1,0.0412,0.0069,0.711,0.08,0.176,132.01,1
Me & You,MORTEN,0.585,0.992,5,-3.386,1,0.0877,0.00425,0.76,0.201,0.135,126.035,1
Life Like This,Timmy Trumpet,0.661,0.889,10,-5.987,0,0.0538,0.00526,0.133,0.367,0.099,127.994,1
We Got Love (feat. Mila Falls) - Medusa Festival Anthem,HIDDN,0.638,0.922,3,-3.582,0,0.044,0.05,0.00181,0.144,0.562,125.973,1
Satisfaction (Hardwell & Maddix Remix),David Guetta,0.715,0.893,11,-5.841,1,0.0633,0.0036,0.0595,0.192,0.143,135.014,1
We Could Be Together (feat. Daddy DJ) - Mike Williams Remix,Gabry Ponte,0.64,0.917,7,-5.404,0,0.0468,0.00174,0.373,0.187,0.366,128.079,1
INTO THE UNKNOWN,Hardwell,0.457,0.954,8,-8.58,1,0.107,0.00127,0.778,0.297,0.0273,127.969,1
Traffic,Bassjackers,0.587,0.983,10,-6.091,0,0.104,0.00333,0.618,0.217,0.263,135.032,1
Body Talk,Gabry Ponte,0.546,0.933,2,-5.576,1,0.0763,0.00384,0.00278,0.276,0.0688,127.951,1
Hero - Dubvision Remix,AFROJACK,0.667,0.933,2,-4.319,1,0.0422,0.0638,0.00113,0.391,0.178,127.988,1
Deep Fear - Lumberjack & BRØMANCE Remix Edit,Sidekick,0.636,0.873,9,-5.819,0,0.0488,0.0711,0.458,0.248,0.11,125.937,1
Better,Sikdope,0.661,0.956,6,-4.345,0,0.0457,0.0774,0.862,0.128,0.0345,129.997,1
Toxic,Tungevaag,0.625,0.872,10,-5.821,0,0.0533,0.00225,0.000246,0.0711,0.358,126.197,1
Time Goes By - Club Mix,Gabry Ponte,0.591,0.873,2,-6.89,1,0.0385,0.00207,0.283,0.114,0.124,130.021,1
Burn,Timmy Trumpet,0.443,0.852,1,-4.838,0,0.0677,0.0308,0.00586,0.0531,0.138,125.861,1
She Movin',Yves V,0.657,0.916,5,-5.331,0,0.107,0.00463,0.622,0.531,0.0559,125.993,1
Out Of Control,Nicky Romero,0.592,0.873,2,-6.981,0,0.0352,0.00159,0.0588,0.112,0.103,123.969,1
We Don’t Need - MistaJam Remix,Piero Pirupa,0.538,0.944,2,-5.554,1,0.0384,0.0019,0.467,0.121,0.413,124.998,1
It's Ours,ARTBAT,0.35,0.635,11,-9.259,1,0.0558,0.00558,0.873,0.0604,0.134,126.98,1
The Feeling - 2022 Remaster,Massano,0.716,0.862,11,-9.065,0,0.0588,0.0017,0.883,0.221,0.0352,123.983,1
Dust,Ummet Ozcan,0.465,0.705,6,-7.362,1,0.0648,0.0289,0.864,0.279,0.0825,128.032,1
Illuminate,Oomloud,0.619,0.931,0,-6.35,1,0.0417,0.00066,0.0476,0.389,0.0844,126.006,1
Tell You,Mike Candys,0.779,0.873,6,-3.994,0,0.0662,0.00233,0.895,0.718,0.602,140.016,1
For The People,Nicky Romero,0.503,0.973,8,-4.947,0,0.0598,0.000774,0.774,0.371,0.592,126.039,1
Planet X,Space 92,0.792,0.836,7,-6.252,1,0.0648,0.006,0.878,0.108,0.183,130.003,1
Forever Alive,Justus,0.514,0.948,5,-1.965,0,0.116,0.0215,0.579,0.273,0.0778,127.74,1
Apex,Ummet Ozcan,0.635,0.774,7,-6.645,1,0.0485,0.00959,0.746,0.854,0.0968,129.98,1
Akuma,Mark Dekoda,0.764,0.958,11,-4.063,0,0.102,0.013,0.84,0.129,0.343,145.012,1
Dark Clouds (feat. Heerhorst & Peter Pahn),Teenage Mutants,0.631,0.978,2,-5.355,1,0.0487,0.00372,0.883,0.167,0.0382,134.951,1
Metamorphosis - Marie Vaunt Remix,Belocca,0.655,0.997,10,-5.156,0,0.103,0.000901,0.869,0.108,0.0648,136.013,1
Phantom,Layton Giordani,0.697,0.885,7,-5.002,1,0.0554,0.00404,0.832,0.278,0.417,135.018,1
LXR02,Joyhauser,0.646,0.855,11,-7.613,0,0.0449,0.00139,0.759,0.073,0.303,138.008,1
Feel It,Amelie Lens,0.627,0.991,5,-8.524,0,0.0416,0.000549,0.845,0.0789,0.261,144.001,1
Overdrive - Edit,Charlotte de Witte,0.715,0.786,0,-9.047,1,0.159,0.0114,0.525,0.117,0.0833,138.002,1
Good Energy,Mha Iri,0.709,0.998,4,-5.033,1,0.0704,5.32e-05,0.861,0.093,0.432,150.008,1
JE N'EXISTE PAS,Brutalismus 3000,0.731,0.886,2,-5.264,1,0.0663,0.00566,0.87,0.147,0.731,155.004,1
Getting Close To Me,Zeltak,0.56,0.98,9,-5.999,1,0.0741,0.000354,0.74,0.103,0.167,148.004,1
Sexuality (My Reality),Len Faki,0.721,0.927,9,-6.95,0,0.0536,0.01,0.904,0.152,0.544,135.98,1
Gam Gam - 2023,Deborah de Luca,0.592,0.96,1,-6.969,1,0.12,0.0249,0.858,0.445,0.0385,135.002,1
The Procedure - Original Mix,DANNY AVILA,0.682,0.987,7,-2.84,1,0.0743,0.012,0.0214,0.319,0.327,132.984,1
Quarth,The YellowHeads,0.754,0.961,5,-4.254,0,0.0435,0.000631,0.811,0.113,0.131,129.997,1
Mirage,Karim Alkhayat,0.701,0.889,7,-6.234,1,0.107,0.00456,0.838,0.515,0.337,131.994,1
Falling Apart,Clap Codex,0.763,0.791,11,-6.589,0,0.0495,0.000268,0.792,0.0752,0.0603,131.978,1
Venezia,AKKI (DE),0.58,0.923,2,-6.599,1,0.0427,0.000581,0.55,0.346,0.119,135.989,1
Crave,Lilly Palmer,0.723,0.992,7,-5.375,1,0.0845,0.000477,0.679,0.102,0.0831,138.001,1
Resist,Spartaque,0.746,0.99,7,-6.409,1,0.0936,0.136,0.906,0.174,0.16,135.997,1
Always Believed,Kaspar,0.843,0.628,7,-10.034,1,0.132,0.233,0.835,0.0923,0.0364,133.006,1
Badlands,Spektre,0.521,0.96,10,-7.59,0,0.0356,0.000435,0.846,0.559,0.173,132.009,1
Das Boot (V2) - D72 Remix,U96,0.695,0.911,7,-6.749,1,0.0421,0.171,0.795,0.0737,0.039,131.988,1
Once Again - Original Mix,UMEK,0.787,0.952,7,-4.811,1,0.0476,0.000794,0.748,0.13,0.0384,132.003,1
Reflection,Charlotte de Witte,0.783,0.716,8,-7.445,1,0.0528,0.0014,0.751,0.119,0.297,133.997,1
Contact - Original Mix,HOF,0.771,0.976,6,-4.737,0,0.0403,0.00749,0.908,0.0993,0.0651,133.996,1
Cooper,Space 92,0.79,0.967,1,-3.739,1,0.0581,0.00762,0.885,0.0863,0.517,132.001,1
Unity - Original Mix,Droplex,0.696,0.814,4,-6.455,1,0.0417,0.026,0.347,0.108,0.517,131.972,1
Be a Human,Anahit Vardanyan,0.737,0.906,7,-6.943,1,0.083,0.00426,0.883,0.105,0.0391,128.993,1
Mission,Marcel Dettmann,0.734,0.933,6,-8.06,1,0.0398,2.77e-06,0.869,0.061,0.844,130.0,1
Atmosferic,Dok & Martin,0.684,0.893,1,-10.34,1,0.0697,0.064,0.879,0.109,0.178,131.98,1
Pulchra,Patrick Scuro,0.753,0.978,7,-5.466,1,0.0888,0.00703,0.701,0.308,0.311,132.005,1
Never Be The Same - Kaspar Remix,Karla Blum,0.687,0.83,6,-5.812,1,0.0526,0.00446,0.853,0.244,0.183,133.982,1
Further,Mha Iri,0.701,0.977,8,-5.508,1,0.0614,0.0013,0.826,0.194,0.366,133.984,1
Parallel Reality,D72,0.608,0.973,9,-6.91,1,0.0623,0.113,0.654,0.327,0.239,134.982,1
Demon,Sam Paganini,0.78,0.819,8,-7.947,1,0.0491,0.0582,0.907,0.0905,0.0352,136.01,1
Nautilus,Aitor Ronda,0.775,0.9,6,-8.166,0,0.0513,0.205,0.861,0.11,0.144,135.004,1
Addicted To Bass,Farrago,0.703,0.951,7,-7.133,1,0.0917,0.377,0.816,0.155,0.074,147.02,1
Frei,In Verruf,0.549,0.933,1,-8.484,1,0.0744,2.45e-05,0.766,0.0615,0.181,148.001,1
Melodrama,Dominik Saltevski,0.511,0.993,6,-6.237,0,0.0407,0.00214,0.869,0.121,0.425,144.998,1
Fall In Love,Lilly Palmer,0.596,0.963,7,-6.032,1,0.0806,0.000443,0.872,0.285,0.148,137.004,1
Stream State,DJ Gigola,0.719,0.629,7,-14.574,1,0.0868,0.305,0.808,0.195,0.229,133.013,1
Gravity,Space 92,0.753,0.914,7,-4.186,1,0.0524,0.000126,0.882,0.0906,0.351,132.009,1
El Medano,Thomas Lizzara,0.792,0.907,5,-7.283,0,0.0422,0.059,0.872,0.061,0.26,130.003,1
I Want to See,Drunken Kong,0.669,0.997,1,-6.953,1,0.0586,5.33e-05,0.804,0.116,0.177,132.018,1
Simulator,Adam Beyer,0.68,0.914,2,-5.369,1,0.141,0.0385,0.806,0.386,0.136,133.029,1
Wasted,Joyhauser,0.661,0.967,5,-7.328,0,0.0752,0.00748,0.659,0.0816,0.0978,137.946,1
Drugs,NØNAME,0.685,0.989,6,-8.414,1,0.161,0.000176,0.902,0.153,0.364,149.989,1
Come Closer,Thomas Schumacher,0.656,0.984,0,-5.868,1,0.0457,7.54e-06,0.86,0.113,0.108,138.0,1
The Cut,Slin Bourgh,0.672,0.737,8,-6.185,1,0.0989,0.00191,0.854,0.113,0.343,136.016,1
Music Is The Answer - Short Version,Dr. Motte,0.621,0.977,11,-5.417,0,0.0322,0.00101,0.183,0.379,0.168,134.979,1
Experience,Luna Lucci,0.632,0.813,7,-13.697,1,0.0546,0.00112,0.809,0.287,0.241,134.991,1
Dreams Machine,Deborah de Luca,0.797,0.917,11,-7.649,0,0.0688,0.00724,0.874,0.106,0.0713,134.998,1
Touch The Darkness,Victor Ruiz,0.611,0.99,7,-8.508,1,0.0602,0.00105,0.915,0.273,0.0664,135.02,1
Heute Nacht,Maddix,0.609,0.912,11,-6.593,0,0.0391,0.0196,0.478,0.133,0.0391,135.027,1
Brunt,Dense & Pika,0.799,0.611,5,-7.459,0,0.0841,0.00191,0.879,0.104,0.205,134.008,1
Jouer Avec Moi,Gris,0.742,0.863,7,-7.349,1,0.0609,0.0309,0.867,0.109,0.0544,134.995,1
Serenity,Belocca,0.735,0.977,11,-5.638,0,0.0669,0.00278,0.884,0.0961,0.171,133.996,1
Roll the Dice,Bart Skils,0.79,0.913,7,-7.609,1,0.0604,0.000453,0.244,0.109,0.128,131.991,1
Rosso Profondo,Anfisa Letyago,0.722,0.845,10,-7.891,0,0.0574,0.0996,0.709,0.129,0.57,133.998,1
Highlands,Marusha,0.632,0.822,7,-7.929,1,0.0897,0.00499,0.892,0.0991,0.07,135.002,1
Resurrection,Reveuse,0.611,0.942,4,-7.662,0,0.0556,0.0187,0.916,0.0996,0.038,127.972,1
Close To You,KSHMR,0.459,0.958,7,-7.768,0,0.0783,0.0117,0.303,0.366,0.136,140.036,1
A Thousand Stars,Samlight,0.571,0.913,2,-6.0,1,0.0423,0.00229,0.133,0.348,0.232,127.993,1
Without You,Sam Halabi,0.541,0.96,11,-4.328,0,0.0438,0.00525,0.213,0.418,0.0747,127.977,1
All In,MORTEN,0.697,0.861,1,-6.486,0,0.0752,0.0274,0.0103,0.695,0.18,121.907,1
SPACE,Trenom,0.685,0.928,2,-8.042,1,0.0436,0.642,0.797,0.113,0.169,126.024,1
With Those Eyes,Mark Roma,0.395,0.918,2,-5.126,1,0.0464,0.0033,0.0508,0.28,0.0359,127.932,1
Concentrated,Nanoviola,0.53,0.958,7,-5.166,1,0.0782,0.000226,0.86,0.341,0.241,130.024,1
Work That,Bingo Players,0.858,0.889,11,-3.421,0,0.097,0.00515,0.144,0.104,0.283,127.013,1
Mirage,HPI,0.508,0.742,6,-6.915,0,0.0497,0.0329,0.701,0.432,0.044,135.509,1
Indestructible,Will Sparks,0.686,0.839,11,-4.231,1,0.0738,0.0274,0.183,0.123,0.0555,133.045,1
Calling,DEADLINE,0.451,0.851,6,-8.699,1,0.0422,0.0012,0.000373,0.413,0.123,126.005,1
Feelings,Diego Miranda,0.663,0.804,2,-9.116,1,0.0432,0.0178,0.836,0.424,0.0847,126.008,1
The Deal,Achilles,0.757,0.97,7,-4.078,1,0.0939,0.0318,0.0378,0.319,0.214,125.018,1
Decibels,Mark Sixma,0.553,0.95,1,-6.199,1,0.0399,0.00142,0.884,0.34,0.064,136.026,1
Khronos,MarVes,0.505,0.971,5,-5.883,0,0.122,0.0205,0.852,0.25,0.0762,129.963,1
Blow Your Mind,Will Sparks,0.66,0.935,10,-4.637,0,0.062,0.0121,0.803,0.155,0.0908,131.989,1
Not Alone,Alex Mueller,0.636,0.86,4,-4.761,0,0.0514,0.0103,0.451,0.104,0.336,124.928,1
Yangjae,Smasher,0.61,0.975,7,-7.733,0,0.0931,0.029,0.528,0.0913,0.175,127.968,1
Farewell with You,Andrew Galaxy,0.595,0.882,7,-6.662,1,0.04,0.0066,0.793,0.283,0.162,128.021,1
Hooked On You,Tim Bliss,0.643,0.971,1,-4.787,1,0.0594,0.163,0.066,0.0332,0.0965,126.021,1
Space Train,Kevin D'Angello,0.718,0.995,11,-5.583,1,0.105,0.00055,0.119,0.229,0.199,143.967,1
Dance Monkey,Machine Made,0.71,0.951,0,-4.913,1,0.0797,0.0198,0.0155,0.2,0.0328,128.018,1
Drifting,Tiësto,0.625,0.951,9,-4.866,0,0.0393,0.0718,0.585,0.164,0.376,130.001,1
Midnight,Captain Bounce,0.608,0.937,6,-5.172,0,0.172,0.0231,0.494,0.845,0.0584,126.038,1
Sound of Vondel,Oliver Heldens,0.641,0.925,2,-7.097,1,0.035,0.0114,0.773,0.163,0.107,129.992,1
The Pulse Of Machine,Sevenn,0.682,0.854,8,-8.969,1,0.0482,0.00425,0.485,0.105,0.0381,124.04,1
Night Vision,Achilles,0.607,0.977,4,-4.591,1,0.0636,0.136,0.639,0.25,0.329,126.011,1
Last All Night,Mark Roma,0.644,0.988,1,-4.304,0,0.29,0.0356,0.572,0.193,0.324,128.05,1
Wildfires,Alex Mueller,0.523,0.906,6,-3.24,0,0.0528,0.114,5.54e-05,0.123,0.145,127.88,1
Baby Don't Hurt Me (feat. Anne-Marie & Coi Leray) - Joel Corry Remix,David Guetta,0.65,0.885,4,-4.382,0,0.0308,0.000391,0.463,0.358,0.327,132.031,1
BLACKOUT,ASHER SWISSA,0.581,0.819,5,-8.171,0,0.0389,0.00289,0.316,0.268,0.0744,126.016,1
Prison,Vision Next,0.529,0.882,10,-8.717,0,0.203,0.111,0.308,0.187,0.095,130.053,1
I Don't Care,Mark Sixma,0.637,0.935,1,-3.924,0,0.0797,0.114,0.501,0.231,0.128,128.018,1
The Faith,Ilo Moro,0.606,0.988,7,-5.806,1,0.0541,0.055,0.87,0.0698,0.0371,128.044,1
Drown In You,Roy Orion,0.604,0.964,6,-3.898,0,0.129,0.0196,0.00165,0.0712,0.0376,125.97,1
Survive,ALEX LNDN,0.535,0.973,2,-5.765,0,0.0489,0.00141,0.632,0.208,0.0423,128.033,1
Wandering Heart,Mark Roma,0.496,0.857,0,-5.876,0,0.0459,0.0158,0.00093,0.172,0.281,127.922,1
Alive on the Dance Floor,Lewis Laite,0.587,0.847,2,-5.855,1,0.0414,0.0029,0.8,0.262,0.121,131.997,1
Believe,HEYDIZ & ZEVS,0.741,0.638,9,-6.931,0,0.186,0.0504,0.0652,0.277,0.145,128.008,1
Disobey - BLK RSE Remix,KAAZE,0.668,0.877,7,-6.536,1,0.0446,0.00926,0.884,0.151,0.475,127.975,1
Take Me,Achilles,0.608,0.963,6,-3.496,0,0.0918,0.0961,0.672,0.244,0.505,128.073,1
Dancing Machine,Andrew Galaxy,0.557,0.954,6,-4.746,0,0.0558,0.000632,0.912,0.317,0.074,129.988,1
Braindance,Retrika,0.531,0.895,9,-4.742,1,0.0544,0.00164,0.0118,0.339,0.196,128.083,1
Your Embrace,Lister,0.54,0.945,9,-5.334,0,0.0536,0.00288,0.824,0.365,0.0448,133.982,1
Your Love Only,Vision Next,0.555,0.943,5,-4.806,0,0.0542,0.0147,0.113,0.18,0.251,127.968,1
Take the Pill,Maxxteen,0.577,0.982,7,-5.513,0,0.0803,0.0018,0.952,0.386,0.266,127.962,1
Algorithm,R3SPAWN,0.611,0.938,2,-5.887,1,0.0393,0.00324,0.551,0.234,0.0922,131.989,1
Unfocused,Ken Bauer,0.599,0.838,1,-7.192,1,0.207,0.0677,0.581,0.111,0.0942,128.003,1
Don't Let Me Go,FOVOS,0.725,0.876,2,-4.006,1,0.0972,0.024,0.673,0.479,0.167,129.961,1
Afterglow,D'Angello & Francis,0.609,0.885,8,-4.846,1,0.0385,0.00307,0.00551,0.125,0.351,125.938,1
Lay Low (Argy Remix),Tiësto,0.656,0.79,6,-7.176,1,0.033,0.00434,0.754,0.0938,0.0385,121.994,1
Dance With Me,Avao,0.62,0.97,1,-5.334,1,0.0456,0.0181,0.692,0.134,0.452,131.972,1
Where Are We going,Semblance Smile,0.569,0.928,2,-7.998,1,0.0463,0.000965,0.0154,0.458,0.0366,126.008,1
Seduction,Hardwell,0.465,0.955,2,-7.474,1,0.046,0.00535,0.841,0.52,0.0757,133.997,1
MOLLY (Will Sparks Remix),Cedric Gervais,0.638,0.943,2,-4.69,1,0.0729,0.0088,0.913,0.222,0.14,135.044,1
Take Me Higher,LUM!X,0.644,0.907,1,-6.083,1,0.0695,0.00801,0.0341,0.164,0.236,125.01,1
Players (with David Guetta) - David Guetta Remix - Extended,Coi Leray,0.756,0.831,1,-6.725,1,0.0664,0.0104,0.18,0.0837,0.167,124.993,1
GOA,HEADER,0.495,0.982,2,-5.892,1,0.0567,0.00561,0.789,0.108,0.373,127.995,1
Omen,Mark Roma,0.639,0.909,7,-4.627,1,0.0412,0.0844,0.949,0.068,0.116,129.979,1
Passion,Edy Marron,0.597,0.99,4,-2.15,0,0.0567,0.0132,0.154,0.0937,0.0788,128.023,1
The Feelin,Vion Konger,0.656,0.938,7,-5.441,1,0.0494,0.00286,0.242,0.319,0.0954,129.958,1
Armageddon - Tech House Edit,Jones Vendera,0.612,0.898,1,-7.042,1,0.0454,0.00548,0.832,0.236,0.111,125.97,1
We Are The People (feat. Jordan Grace),ASCO,0.513,0.954,2,-3.481,0,0.0517,0.00224,0.00348,0.188,0.0386,126.994,1
In Too Deep,Lister,0.548,0.817,9,-9.553,1,0.0488,0.0101,0.0037,0.383,0.199,131.87,1
Heart of Glass,Ken Bauer,0.639,0.861,0,-6.102,0,0.0427,0.00904,0.126,0.172,0.0393,126.004,1
My City's On Fire - Anyma & Cassian Remix,Jimi Jules,0.611,0.777,0,-6.599,1,0.043,0.00196,0.221,0.202,0.31,126.006,1
Make You Mine,ALESSA.A,0.694,0.975,7,-3.972,0,0.0612,0.00454,0.0552,0.296,0.233,125.013,1
Phantom,ALEX LNDN,0.568,0.933,11,-4.896,1,0.0455,0.000173,0.912,0.0871,0.036,128.024,1
Distropia,ASCO,0.673,0.889,8,-4.364,1,0.064,0.00287,0.826,0.11,0.0387,132.011,1
Gettin' Hot,Sputniq,0.639,0.845,2,-5.735,1,0.0956,0.00872,0.00375,0.721,0.177,127.944,1
Twisted,Hardwell,0.531,0.969,8,-5.751,1,0.0479,0.000783,0.0062,0.322,0.0916,134.985,1
Coming Home,Jaison Silva,0.481,0.932,10,-5.546,0,0.049,0.00565,0.00213,0.229,0.243,126.01,1
